,comments,score,sentiments
23,Emng presidennya msih jokowi min? Bukannya slarang presidennya prabowo min?,-1,negative
24,Pengkhianat,0,neutral
25,Dia yg pada tidak beres pak jokowi yg kena sasaran mereka yang korup  pak jokowi yg kena serangan tak usah yeee,-1,negative
26,"LHAHH ...Kementrian PEMIMPINNYA YOOO ...SOPO 
""siapa dulu pemimpinnya""",-1,negative
27,ORANG2 RAKUS YG MERUSAK ALAM & EKO SISTEM,-1,negative
28,Biasa Jokowi ngomongnya nggak bisa dibuat pegangan.,-1,negative
29,"Jokowi bilang sama Pak prabowo berani ngak ,,wong kok rakus memang mau hidup terus eling pak jokowi dah tuwa segela sesuatu akan di mintai pertanggung jawaban",-1,negative
30,Kok tanya saya .  Ya gak tau.😂😂😂😂😅.. dasar tukang bohong ...klo GK ada gengsolo ya GK sampe bgtu...hancur sdah 10tahun ini Indonesia di pimpin Jokowi ...,1,positive
31,Mukanya mulai rusak dan bengkak,-1,negative
32,Begini 2 baru mulai tunjuk sana tunjuk sini,0,neutral
33,Presiden joko widodo akhirnya memberikan tanggapan...mind.mind presiden skrg siapa 😂,1,positive
34,Benar apa yg prnah di ucapkan oleh cak nun,-1,negative
35,Ngibul selamanya ngibul.,0,neutral
36,"Kok kalo merusak, ya jlas merusak lingkunganlah, lama2 muak melihat mukakmu wi wi",1,positive
37,Bila ada kotoran menghindar bersih bersih. Bila ada yang harum maju tampil terdepan bak pahlawan meski hasil keringat orang lain,-1,negative
38,"Jokowi pembohong ulung hati2 aja,, padahal dah bau tanah",-1,negative
39,Brantakan negara kenak geng solo patut mintak 3priode,0,neutral
40,"Semuanya Yg Salah Kok Bpk Jokowi, Padahal Ijin Diberikan Pemerintah Sebelumnya 😇🤕😭",-1,negative
41,"Mustinya jgn menyalahkan kementrian, berarti tdk periksa kerja para mentrinya !",1,positive
42,"OMONG2 KLOBOT MELULU, MASAK NGGAK TAU, KAN UNTUK KEPENTINGAN BOBI TO? SOK WISE...!!!",-1,negative
43,"Itulah enaknya pengusaha dan Mentri pemerintah,apa apa yg di salahin pasti presiden... Padahal presiden kan gak punya semua hak di indonesia,kalo EMG presiden punya hak semua keputusan,kenapa UU perampasan aset harus setuju sama DPR??",1,positive
44,"Selalu membalikkan fakta.... Menyalahkan menterinya dan dg gampang bilang CABUT.... 
BUSUK BUSUK BUSUK...",-1,negative
45,Duluu yg mencabut banyak tambang yg sudah gak brijin.juga pak jokowi,-1,negative
46,Jokowi ini tampang aja sederhana tapi daya rusaknya luar biasa,-1,negative
47,Kok nanya saya,-1,negative
48,Lihatlah wujud & mukanya Perusak lingkungan,1,positive
49,"Bila Alloh SWT sdh berkehendak maka tdk satupun yang mampu menutupinya dan tunggu saja saatnya Alloh SWT yang akan membongkar kedoknya 
Sopo salah bakal seleh 
Sopo gawe bakal nganggo 
Sopo nandur bakal ngunduh",-1,negative
50,"Lokasi tambang nikel 40 km jauhnya dari raja amat, hanya banyak yg menggoreng berita saja maklum sosmed orang pada baper",-1,negative
51,Tukang ngibuli perusak alam Indonesia .ngeles aja ..,-1,negative
52,Gak tenang hidup  uwak ini,1,positive
53,"Sudahlah Pak..katanya Sudah Pangsiun ??? takutnya nanti Bapak Salah omong ??? . . . .Nambah keruh suasana politik yg memang sudah keruh , gini Aza Bapak katanya lagi terserang kurimen / penyakit kulit / gudik ???  Belum termasuk ijazah Palsu ??? .  . . Mbok ya di rumah duduk manis , ngopi , ngemong putu ???. . . .😂😂😂",-1,negative
54,"Joko bagi2 bansos itu uang tambang, coba diaudit asal dari mana itu uang bansos dibagi2kan",-1,negative
55,"JOKOWI, SEORANG PEMBOHONG JADI KEPALA NEGARA SELAMA 10 TAHUN, BERARTI INI MERUPAKAN AZAB YANG KITA RAKYAT INDONESIA TERIMA SELAMA PERIODE TSB",-1,negative
56,"Tdk kentut jokowi lg yg salah,tdk ee jokowi yg salah,bikin aja terus cerita2 tp klau Allah swt lihat semuax maka apapun yg kalian katakan  dan di heboh2 kan akan anda sesali kelak krn fitnah itu hukumanx nyata",-1,negative
57,"Mencari pembenaran
Kok bisa ga tau, tapi tau2 nya punya kapall buat angkat nikel
Cabut aja semuanya walaupun sdh punya surat ijin krn memang semua tambang itu merusak lingkungan
Dan satu lagi hasilnya juga tdk mengutamakan kesejahteraan rakyat tapi buat bancaan segelintir org baik pejabat maupun org2 sipil yg memang rakus",-1,negative
58,"Tapi yang mengijinkan presiden.
G mungkin presiden g tau.
KLO g tau berarti bukan pemerintahan..tapi individu",-1,negative
59,pemimpin ga tau apa2 malah lempar2 pertanyaan,1,positive
60,"Kapan ijinnya ????, Kementriannn appa, dapat licency jokowi gakk. Asal mbaccot ae... Kapal angkut nickelnya punyae soppppo???",-1,negative
61,​ @sionoreso957 kena hoax luu mudah sekaliii lu percaya sama hoax...hanya krn nama kapalnya JKW kau dengan mudahnya percaya bahwa kapal itu milik pak jokowi...miriss sekali otak luu,-1,negative
62,"Karena yg punya Visi, Misi kan hanya Presiden, lupa kah ?",0,neutral
63,Yakin... daya rusak Bpk Jokowi luar biasa...??? Bisakah omongan anda  dipertanggungjawabkan...?? Punya mata dan punya telinga kah..?? Atau punya mata tp sdh buta & punya telinga tp sdh tuli..??? ASBUN..😅😅😅,-1,negative
64,Anak ni kalau ngak bohong sakit kepala nya,-1,negative
65,Jokowi memang merusak tatanan tidak berfikir untuk masyarakat dia hanya berpikir untuk keluarganya. Ini alasan jokowi,-1,negative
66,"Tidak ada pertambangan yang tidak merusak lingkungan, semua pasti merusak lingkungan",-1,negative
67,Jokowi benar..jokowi omong prabowo berani. Kita lihat prabowo,0,neutral
68,"4 pulau punya aceh saja mau di klaim oleh menantunya yang jadi gubernur sumut, haduh akhirnya pak prabowo bilang itu pulau punya aceh.. haduh keluarganya tamak",-1,negative
69,Teruslsh berbohong dan tambahkan YA ALLOH dg siksa yang pedih karena mereka tidak taubat dan terus melakukan kejahatannya tanpa memperbaiki diri.,-1,negative
70,"Masa sih urusan kementrian, presidennya ga tau, kenapa ada namanya istrinya... ah yang bener",-1,negative
71,JUDOL....BUDI  ARI..... JANGAN DILUPAKAN.....,-1,negative
72,"Cabut semua ijin di raja ampat
Borobudur hancur masih bisa di buat replikanya
Batu Ampar hancur, tidak akan bisa tergantikan",-1,negative
73,Jokowi.... Ngibul..... Dibawa  sampai  mati........ Manusia  paling  rakus  sedunia,-1,negative
74,Siapa yg  percaya dg omongan raja pembohong,-1,negative
75,Kang ngibul,0,neutral
76,Berarti selama 10 tahun cumak jadi bonika berbi....kalau ad yg jelek2 di lempar ke metriya .. giliran yg bagus2 ujuk gigi pling depan Selpi paling depan... sekarang nunggu hukum karmanya sajak Wiwi ...,1,positive
77,"tutup tambang nya afili pemilik nya siapa yg beri izin tambang nya adili,kok bisa keluar izin nya sdh lama beroprasi",-1,negative
78,RAJA TEPU TEPU,-1,negative
79,Wajah pak joko wi kok kusam ya setelah gak jadi presiden .mumet kali ya..,1,positive
80,Penuh ke ohongan orang ini,0,neutral
81,Dari 11 omongan Jokowi ada 12 omongannya yang tidak dapat dipercaya,-1,negative
82,"PRESIDEN JOKO WIDODO??? GAK SALAH DENGER TUH MIN 😂😂😂😂
TRIBUN MEDIA MEDIA GENG SOLO DAN MULYONO CS 😂😂😂😂😂",1,positive
83,"Diawal Video ""Presiden Jokowidodo angkat suara"" Dengerin deh",1,positive
84,"Jokowi harus ditangkap,diadili.",-1,negative
85,👍​ @tegosubroto5833 ,0,neutral
86,​ @tegosubroto5833 haruskah itu bisakah apa pra beo orawani,-1,negative
87,"Ya kalo memang untuk negara ok,  tapi yg di koropsi 50%",0,neutral
88,"😅😅 Langsung keluar lebah²  ternak abah dgn koment lebai..🔥🔥🔥Koment anda membuktikan 1000% memang ternak abah tukang nyinyir dan tukang fitnah, semua digoreng kyk goreng tempe orek.Dari mana rumus matematikanya, dari 11 kata² Bpk Jokowi,12 kebohongan...inilah pembuktian Riel, bhw Kadrun lebah ternak² abah,suka menambah-nambah bumbu² pelezat kuping pendengar org² dungu yg mudah tersulut,jd langsung heboh & rame dgn koment² negatif kpd Bpk Jokowi..Slmt menghujat dan memfitnah Bpk Jokowi, yakinlah & percaya,bhw Tuhan senantiasa Memberkati org yg teraniaya, hati² Kharma menghampiri hidup anda tanpa mengenal belas kasih dr Tuhan.Tuhan tdk pernah tidur melihat apa yg anda kerjakan di dunia ini.Teruslah berkarya buruk dgn nyinyir, menghujat, menghina, memfitnah dan merendahkan Bpk Jokowi dan Kel Beliau,Berkat Sukacita Kel Beliau akan semakin berkelimpahan dr Tuhan dan Tuhan akan senantiasa selalu menjaga & melindungi Kel Bpk Jokowi dr gangguan iblis² yg ingin menghancurkan dan mencelakai mrk... Tuhan Maha Baik & Maha Penolong umatnya yg disakiti oleh org² jahat berhati Iblis, apapun rencana jahat dan rencana busuk para Iblis utk Bpk Jokowi & Kel,tdk akan pernah Tuhan ijinkan,krn Bpk Jokowi dan Kel nya adalah orang² baik dan tulus.Kelemah lembutan dan senyum Bpk Jokowi, membawa & memancarkan pesan kedamaian bagi rakyat yg MENYAYANGI dan MENCINTAI Bpk Jokowi dan Kel nya.Tetap semangat Bpk Jokowi & Kel,sehat², panjang umur, teruslah tersenyum utk Bangsa dan Negeri ini,walau ada segelintir rakyat Indonesia yg membenci Bpk & Kel, bahkan merendahkan, menghina, menghujat dan memfitnah Bpk Jokowi dan Kel, ingatlah bahwa Tuhan tidak pernah tidur menjaga dan melindungi Bpk & Kel dr kejahatan org2 yg ingin menghancurkan bahkan mencelakai Bpk & Kel.Firman Tuhan berkata ""Sehabis Hujan, akan ada Pelangi Yg Indah Bersinar terang"".Dibalik Kesedihan Bpk Jokowi dan Kel ada Sukacita Besar dan Abadi,yg tak ternilai telah menanti"".Tuhan akan mengganti Kesedihan menjadi Sukacita Besar,Tuhan jg akan menghapus setiap air mata org yg bersedih & teraniaya.Salam Sukacita utk Bpk Jokowi dan Kel,Tuhan Yesus memberkati...🙏🙏🙏❤️❤️❤️🤝🤝🤝",-1,negative
89,Otak mu jg rusak 😂,-1,negative
90,Sependapat....!!,0,neutral
91,Mengelak lagi siapa saja yg bertanggung pada waktu keluar izinnya maaf 🙏🙏🙏,-1,negative
92,"Bukti NYATA,bhw ternak abah 1000% tukang nyinyir dan tukang fitnah,Fix.Secara hitungan matematika,dr mana rumusnya,11 omongan Bpk Jokowi,12 bohong..?? Ini benar² Riel fitnah tak terbantahkan...?? Begitulah kerjaan gerombolan Kadrun mengobok-obok Negeri ini dan Pemimpin² yg baik dan jujur seperti Bpk Jokowi dan Bpk Prabowo & Mas Gibran, difitnah utk menghancurkan Reputasi baik mrk di mata masyarakat Indonesia, bahkan di mata Dunia.Membalikkan fakta dan menambah bumbu² pelezat kuping rakyat yang mendengar spy ikut meramaikan kasus²  Pemerintah,Politik, Agama,Pemimpin²,dll ,yg tujuannya utk mem-besar²kan masalah.Semua masuk dlm dapur masak politik busuk, semua digoreng utk mengkriminalisasi, spy jd Kasus besar yg tujuannya utk MENGUNTUNGKAN Gerombolan tukang nyinyir dan tukang Fitnah..cari makan dr hasil kejahatan memfitnah..Seram & Ngeri...membawa- bawa Agama mencari kebenaran,sampai lupa kalau mrk sdh menggadaikan & mengorbankan Tuhan, bersumpah dibawah nama Tuhan utk hal² yg tdk benar demi membela,membenarkan dirinya dan perbuatannya yg sgt kotor, biadab,tdk bermoral & menyalahi aturan Tuhan... berlindung dibalik KEMUNAFIKAN.. Dari semua Presiden Indonesia hanya Bpk Jokowi yg dinyinyirin, direndahkan, dihina dan difitnah,ada apa,utk apa & kerjaan siapa..?? 😮😮Pada hal 83% rakyat Indonesia Bangga mendukung dan mengakui bhw Bpk Jokowi Presiden terbaik dan terhebat Indonesia dr semua Presiden pendahulunya, bahkan Pemimpin² Dunia dan masyarakat dunia mengakui Bpk Jokowi Presiden Indonesia terbaik, dan terhebat. Kebencian segelintir rakyat Indonesia pd Bpk Jokowi,sarat dengan muatan Politik,tdk heran kalau ada yg terbakar hebat dgn terpilih nya Bpk Prabowo dan Mas Gibran menjadi Presiden & WaPres RI melanjutkan Pemerintahan Bpk Jokowi dan Program² Bpk Jokowi yg belum sempat terselesaikan... Ada yg MERADANG sampai mengkambing hitamkan Ijazah Bpk Jokowi PALSU... Tuhan tdk pernah tidur melihat & mendengar semua hujatan dan fitnahan pd Bpk Jokowi dan Kel, suatu saat semua kejahatan dan otak² Pembuat Fitnah pd Bpk Jokowi dan Kel,akan Tuhan Tunjukan satu/satu & Tuhan akan buktikan pada semua pembenci Bpk Jokowi dan Kelnya,dan pd waktu & saat yg tepat Tuhan jg akan membuktikan pd Rakyat Indonesia bhw Bpk Jokowi dan Kel nya adalah anak² Tuhan yg baik dan tulus bekerja keras utk dan demi kepentingan dan kesejahteraan rakyat Indonesia.Tuhan akan semakin mengangkat dan memberkati Bpk Jokowi dan Kel.Firman Tuhan berkata,""Sehabis Hujan akan ada Pelangi""..Dibalik kesedihan Bpk Jokowi dan Kel, ada Sukacita Besar telah menanti"".Bpk Jokowi & Kel yg selalu dihina, direndahkan, difitnah dan dihujat, akan selalu diberkati Tuhan.. Bpk Jokowi dan Kel akan kembali bersinar melebihi sinar yg telah di laluinya.Janji Tuhan akan Nyata dalam Hidup Bpk Jokowi dan Kel ""SEMUA AKAN INDAH PADA WAKTUNYA""..Sebaliknya,bagi org² yg merendahkan, menghina, menghujat dan memfitnah Bpk Jokowi dan Kel.. Kharma menyedihkan akan datang menghampiri... bertobatlah sebelum Penghakiman dr Tuhan datang membalas setiap perbuatan anda.. Tuhan Yesus Memberkati Bpk Jokowi dan Kel..🙏🙏🏻❤️❤️❤️🤝🤝",-1,negative
93,Betul tu....biasa lempar batu sembunyi tangan....klw gak begitu bukan muliono namanya...faham,-1,negative
94,"Ngapain udah pensiun masih di kawal²segala?menghamburkan anggaran saja,kaya gak ada kerjaan lagi,kirim ke papua ke😂",0,neutral
95,Memperkaya diri saja molyono,-1,negative
96,"Jokowi masih santai krn godfathernya masih berkeliaran di sekitar penguasa, coba kalo Luhut, Tito dan Listyo Sigit diambil, pasti langsung linglung.",1,positive
97,Apa masih ada yg percaya ucapanya. Yg sen kiri belok kanan. Semua serba kebalikanya,-1,negative
98,"Pengen ku berkata ""kotor"". Knapa cuci tangan?",-1,negative
99,Lempar tanggung jawab.dia biang kerok,-1,negative
100,Presiden terburuk .sesuai dg wajah nja ...skrg muka  bengkak .hitam  bintik 2 knp tu ???,0,neutral
101,Jokowi seolah bijak  padahal ngeles,-1,negative
102,Negara di obok obok sama 1 orang 😂😂😂,1,positive
103,Waspadai keluguannya.krn keluguan dan kesederhanaannya itulah senjata utamanya.,0,neutral
104,"CHINA MENGAKAUI MENG IMPORT BIJI NIKEL 5700 TON DARI INDONESIA..  TAPI PEMERINTAH INDONESIA REZIM JOKOWI TIDAK MENGAKUI , NOL EXPORT BIJI NIKEL.
EDDAN !! PATUT DIDUGA SDH JELAS KEMANA DUIT MASUK NYA.   
DPR DIAM, PENEGAK HUKUM DIAM..ANEHA SPERTI MENANTANG AZAB ALLAH",-1,negative
105,Ya ndak tau kok tanya saya😅😅,-1,negative
106,"1976 udh beroprasi , presidenya bukan jkw lagi ngapain pada ributin jkw, publik cmn modal katanya sok sok an mengadili",-1,negative
107,Rusa negoro nek wong koyo ngene isih urip...,0,neutral
108,La mbo sadar... Mati rasa Gowo opo2,-1,negative
109,Bohong,-1,negative
110,Mulai bersandiwara,1,positive
111,Liar binasa,-1,negative
112,ORG KLO SUKA BOHONG YA BGINI...TDK MAU MNGAKUI KLO ITU KBIJAJAN NYA...MLH DI LEMPAR KE  KEMENTRIAN...,-1,negative
113,Dasar pembohong dan penipu,-1,negative
114,Bodoh klo percaya sama molyono,1,positive
115,"Tambang nikel 40 km jarak dari wisata raja ampat, hanya banyak orang yg menggoreng berita maklum saja sosmed cepat beredar, tp tidak sesuai dgn kondisi vosqu",-1,negative
116,Keluarga perusak negara,-1,negative
117,Baru kali ini ada masalah besar ternyata perizinannya hanya ranah kementerian. Presiden tidak mengerti dan bukan keputusan presiden. Waduuuh lalu apa fungsi mu jok ??,-1,negative
118,"Perlu waspada orang secara kebatinan,,,keliatan luarnya lugu ,,tapi jeroannya,,,,,ruwed,,",-1,negative
119,Tetap semangat PK jokowi,0,neutral
120,"Pak Jokowi walau banyak hujatan dan fitnah, tuduhan kpd Bapak, tapi kalau bapak bersih,  semua itu mnjadi pahala bagi bapak",-1,negative
121,"JOKOWI MULYONO TERLIBAT ATAS PERIZINAN PERTAMBANGAN DI SELURUH DAERAH... MANA ADA ATASAN TIDAK TAU KALAU BAWAHAN NYA MEMBERIKAN IZIN LANGSUNG TANPA PERSETUJUAN PRESIDEN. 

JOKOWI MULYONO MEMANG SEORANG PENIPU DAN PENGKHIANAT BANGSA.",-1,negative
122,Kl dibuka kasusnya nanti bs chaos 🤣🤣🤣,1,positive
123,​ @teguhrubiyanto3109 benar sekali anda 😂😅,1,positive
124,NIKEL SAMA BATU BARA TERNYATA  DI GANTI SAMA KAOS OBLONG YANG DI BAGI - BAGIKAN OLEH SI RAJA TIPU-TIPU SE-INDONESIA .. 😅😅😅😅😅,-1,negative
125,CHINA MENGAKUI 5700 TON IMPORT DARI INDONESIA. TAPI PEMERINTAH INDONESIA REZIM JOKOWI TIDAK MENGAKUINYA.  KEMANA NIH DUIT NYA.  MAKA MUNCUL LAH ISUE BLOK MEDAN..,-1,negative
126,​ @izkurisepjuara4241  Jokowi gak bakal ngaku lha ijasah aja gak mau ngaku palsu 😂😂😂,1,positive
127,"Kentuutttt ........
..",0,neutral
128,Bohong klo ga tau...,-1,negative
129,Kok minta pendapat Jokowi...presiden kan prabowo,-1,negative
130,UNIVERSITAS PASAR PRAMUKA 😂😂😂,1,positive
131,"Bahasa Islamnya""MUNAFIK""",-1,negative
132,"Maling mn mau ngaku .😂😂😂
Keturunan maling mana mau ngaku..😂😂",1,positive
133,😂😂ROY SURYO HATINYA BUKAN INDONESIA😂 TDK PERCAYA . UGM...KAPOLRI..BAHKAN PENGADILAN INDONESIA😂😂😂,1,positive
134,Bo'ong lagi,-1,negative
135,Bohong lagi si Mulyono...dulu...bolak balik terus ke Raja ampat...sekarang berusaha cuci tangan...emang iblis nih orang...,-1,negative
136,Rajanya penipu,-1,negative
137,TERLIHAT TAMBAH GANTENG PENSIUNAN PRESIDENKU. . 😊😊😊,1,positive
138,Udah oasti rusak kingkungan htsnya cabut ijin nya jokowi ga mungkin ga liat,-1,negative
139,Penghancur nkri mulai hancur mukanya,1,positive
140,tambang mana yang tidak merusak lingkungan?? gimana alumni UGM ini 😂,-1,negative
141,"Swallow aja,,, org udh eks boleh jadi buka suara.. tenang"" aja, itu urusan pemerintahan skrg. Situh udh sipilllll",-1,negative
142,"Silahkan sanjung saja jokodok itu, kami semua tau kalo tribun itu media model apa",-1,negative
143,"Papua, maluku dan aceh merupakan isu yg sensitif apalagi dikaitkan dgn jokowi",0,neutral
144,Ngeri 😂😂😂,1,positive
145,Berkelit lagi ni yeeee....,-1,negative
146,"Pertambangan Nikel sejak 1972 n ijin PT GAG thn 1998 (era Soeharto), Kontrak diperpanjang thn 2006 (era SBY).
Pertanyaanx adlh kenapa kok Jokowi yg disalahkan?
Parah orang"" ini, seandaix istri mrk selingkuh pasti Jokowi jg yg disalahkan.",-1,negative
147,"Ngeles dan mengkambinghitamkan mentri""y manusia penipu paling serakah",-1,negative
148,harvest moon,0,neutral
149,"Benar pendapat anda jokowi ini udah tinggal tak sampai seumur jagung masih sempat jual pasir laut.dan jokowi ini setiap persoalan tetapbikin gaduh dan tetap kasusnya lempar batu sembunyi tangan .dan kalau udah gaduh senjata utama,kok tanya saya,tanya menterinya.kpk tanya sa6a tanya mamaknya kaesang dirumah.kok tanya saya saya tak tahu.ini namanya manusia tak punya urat malu.manusia tak punya akhlak dan norma.yg buat rakyat tanda tanya mengapa tak ditangkap yg jelas udah melanggar aturan main.semua itu tanpa mengetahui penjilatmu pengikutmu tak mungkin mereka berani..kalau udah gaduh rumus,tipu diatas tipu br keluar.kok tanya saya sayasaya tidak tahu.hei jokodok gorong gorong.kamu udah kena laknat bukan mukamu aja yg kena lsknat seluruh tubuhmu udah dikasih ALLAH pakean permanen yaitu pakean loreng..terus aja pertahankan tipu tipumu agar lebih cerah lagi pakean lorengmu.amin amin amin ya ALLAH.dengarkanlah dan kabulkanlah permohonan hambamu ini yg terzolimi dr manusia laknatwww papua manis😊",-1,negative
150,Hahaha mungkin anda benar,-1,negative
151,"Betul bro,,kaki nya injek tmbelek juga slah jokowi kek nya..😂😂",-1,negative
152,Tangkap jangan omon omon doang,-1,negative
153,"Pret,nggedabrus luh,tukang ngibul,kurangajar luh.",0,neutral
154,"JOKOWI TIDAK PERLU BERPURA-PURA TIDAK TAU BAHWA PERTAMBANGAN NIKEL ITU PASTI MERUSAK LINGKUNGAN DAN JOKOWI PASTI TAU HAL ITU, TAPI DIA TIDAK PEDULI KARENA SIFAT DAN WATAK DASAR YG ADA PADA DIRI YA SERAKAH DAN RAKUS TIDAK PEDULI DENGAN NASIB ORANG SEKITAR. JADI PRESIDEN BUKAN MENGURUS RAKYAT TAPI AJI MUMPUNG.",-1,negative
155,Kok ranya saya 😂😂,1,positive
156,"SEMUA PERTANYAAN YANG DILONTARKAN KE JOKOWI PASTI DITUJUKAN KE YANG BERKENAN.
Masalah ada apa dibalik semua, BELIAU TENANG TENANG SAJA.",-1,negative
157,Tangkap jokowidodo mencari kekayaan sekeluarga,-1,negative
158,​ @Oppo-j9d4k dan ganknya,0,neutral
159,Bukan siapa2 kok komentar sampai SDM ya...emang dia siapa....??? Mana pak Prabowo para menteri titipan singkirkan saja bikin gaduh terus..,-1,negative
160,"Omongan tukang tipu ya begini, tdk mau tanggung jawab 
Padahal ijin menteri adalah ijin presiden",-1,negative
161,"Rakyat sedikitpun jgn percaya!?
Yg namax,tambang pasti rusak lingkungan,itu semua di lakukan karena uang,Mulyono n grombolanx,Bahlil,opung dll 
Masak tambang Ndak ada sistim kontrolx gtu?
STLH ramai baru ngomong gtu,jgn percaya pembohong!?",-1,negative
162,"1976 udh ada, jkw masi anak anak",-1,negative
163,"Kamu benar"" tdk tau ttg sejarah Tambang Nikel Raja Ampat ato sengaja memfitnah Jokowi?
Ketahuilah bahwa Dosa Fitnah memang terlihat kecil tp meskipun Tulang Belulangmu telah lebur menyatu dgn tanah Dosamu akan terus bertambah.",-1,negative
164,"Baca komen diatas blok! Izin diperpanjang zaman sby, dan menterinya sby. Lah kok nyalahin jkw?",-1,negative
165,"yo benar kok semua tanya pak Jokowi ,semua salah pak Jokowi ,tambang nikel kan surat ijin  nya dari megawati  ,aceh kan juga ada surat atau undang"" wilayah ,kok semua salah kan Jokowi ,emang manusia laknat itu kerja nya menghujat dan.fitnah .ngak tau sok tau ,bela yang salah itu sudah kewajiban orang munafik",-1,negative
166,Bnyak Berkelit toh. 😊😊,1,positive
167,"ILMU ANDALAN JOKOWI BIASA LEMPAR BATU SEMBUNYI TANGAN, IA BILANG JANGAN TANYA SAMA SAYA,",-1,negative
168,"Tidak ada visi menteri,katanya😂",0,neutral
169,"tutup semua tambang seindonesia, jangan double standar

biar pengangguran nambah",-1,negative
170,Yang demo suruh nutup tambang ya dia harus ngasih solusi ekonomi rakyat setempat coooxx😮,-1,negative
171,"masalahnya mereka pekerja bukan pemilik tanah, bukan tanah kelahiran, bukan warga yang menetap disitu! coba survey warga penghuni pulau Gag",-1,negative
172,Nah selama ini Mentri ESDM ngapain sampe bisa ada tambang di situ,-1,negative
173,"Presiden Prabowo Subianto 👍👍👍👍👍👍👍 jangan biarkan orang orang rakus merusak alam dinegeri ini, siapa pun yang merusak alam harus dihukum yang seberat-beratnya",-1,negative
174,Jelas2 pt nya atas namaa............,-1,negative
175,Sudah waktunya para pejabat yang merusak alam Indonesia wajib dipecat dan dimiskinkan!,-1,negative
176,"Terimakasih Pak Prabowo,kami rakyat mendukung penuh pemerintahan Pak Prabowo 🙏🫡",1,positive
177,Apa tuh 😂,0,neutral
178,"Betul, saya setuju, cabut aja hamnya",-1,negative
179,Sekalian sih bahlil di copot,-1,negative
180,Coba kalian perhatikan muka so bahlul 🫢🫢🫢,-1,negative
181,Yang penting hadir di sosmed.dan bilang mencabut tapi nyatanya semakin rusak😢,-1,negative
182,Muka bahlil 😂😂😂😂,1,positive
183,Yang terlibat usut dan penjara seumur hidup,-1,negative
184,Bahlil anjing itu mata macam mabok😂,-1,negative
185,Prabowo tidak mempunyai kemampuan mencabut izin usaha di raja Ampat KL tidak ingin di kudeta,-1,negative
186,Viral dulu baru bergerak.,0,neutral
187,Dari raut wajah menteri bahlil itu seperti lesu,-1,negative
188,"Kok empat doang , cabut semua di raja Ampat , dan evaluasi tambang di RI ,bareng semua unsur masarakat",-1,negative
189,Dah kayak Harmoko. Sesuai petunjuk..... 😂😂😂😂,1,positive
190,Kenapa cuma 4,-1,negative
